"Group" "Activity" "Subject_ID" "Variable" "Mean"
"test" "1 WALKING" 2 "425 fBodyGyro-mean()-Y" -0.55477211220339
"test" "1 WALKING" 2 "426 fBodyGyro-mean()-Z" -0.396659907457627
"test" "1 WALKING" 2 "427 fBodyGyro-std()-X" -0.604053019152542
"test" "1 WALKING" 2 "428 fBodyGyro-std()-Y" -0.533046952542373
"test" "1 WALKING" 2 "429 fBodyGyro-std()-Z" -0.559856635084746
"test" "1 WALKING" 2 "43 tGravityAcc-mean()-Z" 0.0847270871186441
"test" "1 WALKING" 2 "44 tGravityAcc-std()-X" -0.972693201355932
"test" "1 WALKING" 2 "45 tGravityAcc-std()-Y" -0.972116879661017
"test" "1 WALKING" 2 "452 fBodyGyro-meanFreq()-X" 0.00727967988474576
"test" "1 WALKING" 2 "453 fBodyGyro-meanFreq()-Y" -0.0427009322372881
"test" "1 WALKING" 2 "454 fBodyGyro-meanFreq()-Z" 0.139752115269492
"test" "1 WALKING" 2 "46 tGravityAcc-std()-Z" -0.972072847627119
"test" "1 WALKING" 2 "5 tBodyAcc-std()-Y" -0.0780912533118644
"test" "1 WALKING" 2 "503 fBodyAccMag-mean()" -0.324289427932203
"test" "1 WALKING" 2 "504 fBodyAccMag-std()" -0.577105211694915
"test" "1 WALKING" 2 "513 fBodyAccMag-meanFreq()" 0.393206208305085
"test" "1 WALKING" 2 "516 fBodyBodyAccJerkMag-mean()" -0.169064352813559
"test" "1 WALKING" 2 "517 fBodyBodyAccJerkMag-std()" -0.164091969449153
"test" "1 WALKING" 2 "526 fBodyBodyAccJerkMag-meanFreq()" 0.20750092670339
"test" "1 WALKING" 2 "529 fBodyBodyGyroMag-mean()" -0.530704814745763
"test" "1 WALKING" 2 "530 fBodyBodyGyroMag-std()" -0.651792839661017
"test" "1 WALKING" 2 "539 fBodyBodyGyroMag-meanFreq()" 0.305283825254237
"test" "1 WALKING" 2 "542 fBodyBodyGyroJerkMag-mean()" -0.583249293389831
"test" "1 WALKING" 2 "543 fBodyBodyGyroJerkMag-std()" -0.558104554745763
"test" "1 WALKING" 2 "552 fBodyBodyGyroJerkMag-meanFreq()" 0.126344614439492
"test" "1 WALKING" 2 "555 angle(tBodyAccMean,gravity)" -0.0301017378813559
"test" "1 WALKING" 2 "556 angle(tBodyAccJerkMean),gravityMean)" 0.0534005800847458
"test" "1 WALKING" 2 "557 angle(tBodyGyroMean,gravityMean)" 0.0216196774508475
"test" "1 WALKING" 2 "558 angle(tBodyGyroJerkMean,gravityMean)" -0.0858470827457627
"test" "1 WALKING" 2 "559 angle(X,gravityMean)" -0.66195998
"test" "1 WALKING" 2 "560 angle(Y,gravityMean)" 0.321443011864407
"test" "1 WALKING" 2 "561 angle(Z,gravityMean)" -0.0368892833067797
"test" "1 WALKING" 2 "6 tBodyAcc-std()-Z" -0.425257524915254
"test" "1 WALKING" 2 "81 tBodyAccJerk-mean()-X" 0.0618080696279661
"test" "1 WALKING" 2 "82 tBodyAccJerk-mean()-Y" 0.0182492679288136
"test" "1 WALKING" 2 "83 tBodyAccJerk-mean()-Z" 0.00789533706610169
"test" "1 WALKING" 2 "84 tBodyAccJerk-std()-X" -0.277530462620339
"test" "1 WALKING" 2 "85 tBodyAccJerk-std()-Y" -0.0166022362847458
"test" "1 WALKING" 2 "86 tBodyAccJerk-std()-Z" -0.586090418983051
"test" "1 WALKING" 4 "1 tBodyAcc-mean()-X" 0.278582015166667
"test" "1 WALKING" 4 "121 tBodyGyro-mean()-X" -0.0317982557795
"test" "1 WALKING" 4 "122 tBodyGyro-mean()-Y" -0.0726905278583333
"test" "1 WALKING" 4 "123 tBodyGyro-mean()-Z" 0.0805677161216667
"test" "1 WALKING" 4 "124 tBodyGyro-std()-X" -0.500916659
"test" "1 WALKING" 4 "125 tBodyGyro-std()-Y" -0.665394092833333
"test" "1 WALKING" 4 "126 tBodyGyro-std()-Z" -0.662608226
"test" "1 WALKING" 4 "161 tBodyGyroJerk-mean()-X" -0.115321556475
"test" "1 WALKING" 4 "162 tBodyGyroJerk-mean()-Y" -0.0393474489133333
"test" "1 WALKING" 4 "163 tBodyGyroJerk-mean()-Z" -0.0551166852766667
"test" "1 WALKING" 4 "164 tBodyGyroJerk-std()-X" -0.492341066833333
"test" "1 WALKING" 4 "165 tBodyGyroJerk-std()-Y" -0.807419937
"test" "1 WALKING" 4 "166 tBodyGyroJerk-std()-Z" -0.640454132833333
"test" "1 WALKING" 4 "2 tBodyAcc-mean()-Y" -0.0148399475341667
"test" "1 WALKING" 4 "201 tBodyAccMag-mean()" -0.312050574166667
"test" "1 WALKING" 4 "202 tBodyAccMag-std()" -0.527679103166667
"test" "1 WALKING" 4 "214 tGravityAccMag-mean()" -0.312050574166667
"test" "1 WALKING" 4 "215 tGravityAccMag-std()" -0.527679103166667
"test" "1 WALKING" 4 "227 tBodyAccJerkMag-mean()" -0.366700879833333
"test" "1 WALKING" 4 "228 tBodyAccJerkMag-std()" -0.316918956
"test" "1 WALKING" 4 "240 tBodyGyroMag-mean()" -0.49779220106
"test" "1 WALKING" 4 "241 tBodyGyroMag-std()" -0.553116111166667
"test" "1 WALKING" 4 "253 tBodyGyroJerkMag-mean()" -0.6813040365
"test" "1 WALKING" 4 "254 tBodyGyroJerkMag-std()" -0.7301463685
"test" "1 WALKING" 4 "266 fBodyAcc-mean()-X" -0.426719449666667
"test" "1 WALKING" 4 "267 fBodyAcc-mean()-Y" -0.14939963344
"test" "1 WALKING" 4 "268 fBodyAcc-mean()-Z" -0.631005470833333
"test" "1 WALKING" 4 "269 fBodyAcc-std()-X" -0.447234929666667
"test" "1 WALKING" 4 "270 fBodyAcc-std()-Y" -0.101799450565167
"test" "1 WALKING" 4 "271 fBodyAcc-std()-Z" -0.594198325666667
"test" "1 WALKING" 4 "294 fBodyAcc-meanFreq()-X" -0.13859163673
"test" "1 WALKING" 4 "295 fBodyAcc-meanFreq()-Y" 0.0123477342916667
"test" "1 WALKING" 4 "296 fBodyAcc-meanFreq()-Z" -0.0787892636928333
"test" "1 WALKING" 4 "3 tBodyAcc-mean()-Z" -0.11140306485
"test" "1 WALKING" 4 "345 fBodyAccJerk-mean()-X" -0.358883413666667
"test" "1 WALKING" 4 "346 fBodyAccJerk-mean()-Y" -0.279553391533333
"test" "1 WALKING" 4 "347 fBodyAccJerk-mean()-Z" -0.728991595666667
"test" "1 WALKING" 4 "348 fBodyAccJerk-std()-X" -0.29732607245
"test" "1 WALKING" 4 "349 fBodyAccJerk-std()-Y" -0.2099000063
"test" "1 WALKING" 4 "350 fBodyAccJerk-std()-Z" -0.772359087333333
"test" "1 WALKING" 4 "373 fBodyAccJerk-meanFreq()-X" -0.1352803947515
"test" "1 WALKING" 4 "374 fBodyAccJerk-meanFreq()-Y" -0.385880862833333
"test" "1 WALKING" 4 "375 fBodyAccJerk-meanFreq()-Z" -0.325737503675
"test" "1 WALKING" 4 "4 tBodyAcc-std()-X" -0.440829971333333
"test" "1 WALKING" 4 "41 tGravityAcc-mean()-X" 0.963999696833333
"test" "1 WALKING" 4 "42 tGravityAcc-mean()-Y" -0.0858540265666667
"test" "1 WALKING" 4 "424 fBodyGyro-mean()-X" -0.373384540666667
"test" "1 WALKING" 4 "425 fBodyGyro-mean()-Y" -0.688460056666667
"test" "1 WALKING" 4 "426 fBodyGyro-mean()-Z" -0.601381129166667
"test" "1 WALKING" 4 "427 fBodyGyro-std()-X" -0.542646759
"test" "1 WALKING" 4 "428 fBodyGyro-std()-Y" -0.654657770166667
"test" "1 WALKING" 4 "429 fBodyGyro-std()-Z" -0.716458475166667
"test" "1 WALKING" 4 "43 tGravityAcc-mean()-Z" 0.127764112666667
"test" "1 WALKING" 4 "44 tGravityAcc-std()-X" -0.983826494833333
"test" "1 WALKING" 4 "45 tGravityAcc-std()-Y" -0.967963221
"test" "1 WALKING" 4 "452 fBodyGyro-meanFreq()-X" -0.12715408578
"test" "1 WALKING" 4 "453 fBodyGyro-meanFreq()-Y" -0.27466563765
"test" "1 WALKING" 4 "454 fBodyGyro-meanFreq()-Z" 0.149851534733333
"test" "1 WALKING" 4 "46 tGravityAcc-std()-Z" -0.962968112
"test" "1 WALKING" 4 "5 tBodyAcc-std()-Y" -0.0788267367683333
"test" "1 WALKING" 4 "503 fBodyAccMag-mean()" -0.450804558333333
"test" "1 WALKING" 4 "504 fBodyAccMag-std()" -0.651172628166667
"test" "1 WALKING" 4 "513 fBodyAccMag-meanFreq()" 0.382096409966667
"test" "1 WALKING" 4 "516 fBodyBodyAccJerkMag-mean()" -0.318587811
"test" "1 WALKING" 4 "517 fBodyBodyAccJerkMag-std()" -0.320458701
"test" "1 WALKING" 4 "526 fBodyBodyAccJerkMag-meanFreq()" 0.111486484954333
"test" "1 WALKING" 4 "529 fBodyBodyGyroMag-mean()" -0.609285588016667
"test" "1 WALKING" 4 "530 fBodyBodyGyroMag-std()" -0.593937200833333
"test" "1 WALKING" 4 "539 fBodyBodyGyroMag-meanFreq()" 0.0697301245295
"test" "1 WALKING" 4 "542 fBodyBodyGyroJerkMag-mean()" -0.724327420666667
"test" "1 WALKING" 4 "543 fBodyBodyGyroJerkMag-std()" -0.757768081166667
"test" "1 WALKING" 4 "552 fBodyBodyGyroJerkMag-meanFreq()" 0.26535537398
"test" "1 WALKING" 4 "555 angle(tBodyAccMean,gravity)" -0.0120097781333333
"test" "1 WALKING" 4 "556 angle(tBodyAccJerkMean),gravityMean)" 0.00092110448333333
"test" "1 WALKING" 4 "557 angle(tBodyGyroMean,gravityMean)" 0.0177813678333333
"test" "1 WALKING" 4 "558 angle(tBodyGyroJerkMean,gravityMean)" 0.0554159672016667
"test" "1 WALKING" 4 "559 angle(X,gravityMean)" -0.865284280666667
"test" "1 WALKING" 4 "560 angle(Y,gravityMean)" 0.1425101785
"test" "1 WALKING" 4 "561 angle(Z,gravityMean)" -0.0675179863833333
"test" "1 WALKING" 4 "6 tBodyAcc-std()-Z" -0.586252806833333
"test" "1 WALKING" 4 "81 tBodyAccJerk-mean()-X" 0.0783529082183333
"test" "1 WALKING" 4 "82 tBodyAccJerk-mean()-Y" 0.00295602428666667
"test" "1 WALKING" 4 "83 tBodyAccJerk-mean()-Z" -0.000767679338333334
"test" "1 WALKING" 4 "84 tBodyAccJerk-std()-X" -0.297042612533333
"test" "1 WALKING" 4 "85 tBodyAccJerk-std()-Y" -0.221165131581667
"test" "1 WALKING" 4 "86 tBodyAccJerk-std()-Z" -0.7513913825
"test" "1 WALKING" 9 "1 tBodyAcc-mean()-X" 0.278502842115385
"test" "1 WALKING" 9 "121 tBodyGyro-mean()-X" -0.0808360598653846
"test" "1 WALKING" 9 "122 tBodyGyro-mean()-Y" -0.0625598710615385
"test" "1 WALKING" 9 "123 tBodyGyro-mean()-Z" 0.111629779896154
"test" "1 WALKING" 9 "124 tBodyGyro-std()-X" -0.476163506730769
"test" "1 WALKING" 9 "125 tBodyGyro-std()-Y" -0.467054167884615
"test" "1 WALKING" 9 "126 tBodyGyro-std()-Z" -0.265683521346154
"test" "1 WALKING" 9 "161 tBodyGyroJerk-mean()-X" -0.0809204094461538
"test" "1 WALKING" 9 "162 tBodyGyroJerk-mean()-Y" -0.0356283427038462
"test" "1 WALKING" 9 "163 tBodyGyroJerk-mean()-Z" -0.0633406620592308
"test" "1 WALKING" 9 "164 tBodyGyroJerk-std()-X" -0.526985309038462
"test" "1 WALKING" 9 "165 tBodyGyroJerk-std()-Y" -0.549200228076923
"test" "1 WALKING" 9 "166 tBodyGyroJerk-std()-Z" -0.457881494038462
"test" "1 WALKING" 9 "2 tBodyAcc-mean()-Y" -0.0180891971284423
"test" "1 WALKING" 9 "201 tBodyAccMag-mean()" -0.0980840496143461
"test" "1 WALKING" 9 "202 tBodyAccMag-std()" -0.37942877
"test" "1 WALKING" 9 "214 tGravityAccMag-mean()" -0.0980840496143461
"test" "1 WALKING" 9 "215 tGravityAccMag-std()" -0.37942877
"test" "1 WALKING" 9 "227 tBodyAccJerkMag-mean()" -0.203733615519231
"test" "1 WALKING" 9 "228 tBodyAccJerkMag-std()" -0.317113487115385
"test" "1 WALKING" 9 "240 tBodyGyroMag-mean()" -0.294542266826923
"test" "1 WALKING" 9 "241 tBodyGyroMag-std()" -0.489725811538462
"test" "1 WALKING" 9 "253 tBodyGyroJerkMag-mean()" -0.510253995769231
"test" "1 WALKING" 9 "254 tBodyGyroJerkMag-std()" -0.599866472692308
"test" "1 WALKING" 9 "266 fBodyAcc-mean()-X" -0.294711163653846
"test" "1 WALKING" 9 "267 fBodyAcc-mean()-Y" -0.257677616153846
"test" "1 WALKING" 9 "268 fBodyAcc-mean()-Z" -0.250806259788462
"test" "1 WALKING" 9 "269 fBodyAcc-std()-X" -0.218019977423077
"test" "1 WALKING" 9 "270 fBodyAcc-std()-Y" -0.223972558596154
"test" "1 WALKING" 9 "271 fBodyAcc-std()-Z" -0.0337965256573077
"test" "1 WALKING" 9 "294 fBodyAcc-meanFreq()-X" -0.310727563365385
"test" "1 WALKING" 9 "295 fBodyAcc-meanFreq()-Y" 0.0213195015442308
"test" "1 WALKING" 9 "296 fBodyAcc-meanFreq()-Z" 0.0237831761442308
"test" "1 WALKING" 9 "3 tBodyAcc-mean()-Z" -0.110820512307692
"test" "1 WALKING" 9 "345 fBodyAccJerk-mean()-X" -0.314265401346154
"test" "1 WALKING" 9 "346 fBodyAccJerk-mean()-Y" -0.367706595
"test" "1 WALKING" 9 "347 fBodyAccJerk-mean()-Z" -0.399541245192308
"test" "1 WALKING" 9 "348 fBodyAccJerk-std()-X" -0.170228340134423
"test" "1 WALKING" 9 "349 fBodyAccJerk-std()-Y" -0.228380473480769
"test" "1 WALKING" 9 "350 fBodyAccJerk-std()-Z" -0.419104362884615
"test" "1 WALKING" 9 "373 fBodyAccJerk-meanFreq()-X" -0.378291493076923
"test" "1 WALKING" 9 "374 fBodyAccJerk-meanFreq()-Y" -0.389047303846154
"test" "1 WALKING" 9 "375 fBodyAccJerk-meanFreq()-Z" -0.366570477826923
"test" "1 WALKING" 9 "4 tBodyAcc-std()-X" -0.238353562692308
"test" "1 WALKING" 9 "41 tGravityAcc-mean()-X" 0.951867079615385
"test" "1 WALKING" 9 "42 tGravityAcc-mean()-Y" -0.0314341738730769
"test" "1 WALKING" 9 "424 fBodyGyro-mean()-X" -0.383676120961538
"test" "1 WALKING" 9 "425 fBodyGyro-mean()-Y" -0.436905860576923
"test" "1 WALKING" 9 "426 fBodyGyro-mean()-Z" -0.240222512134615
"test" "1 WALKING" 9 "427 fBodyGyro-std()-X" -0.507404512692308
"test" "1 WALKING" 9 "428 fBodyGyro-std()-Y" -0.490990336346154
"test" "1 WALKING" 9 "429 fBodyGyro-std()-Z" -0.342367223269231
"test" "1 WALKING" 9 "43 tGravityAcc-mean()-Z" -0.115856121080385
"test" "1 WALKING" 9 "44 tGravityAcc-std()-X" -0.980971973653846
"test" "1 WALKING" 9 "45 tGravityAcc-std()-Y" -0.971242423076923
"test" "1 WALKING" 9 "452 fBodyGyro-meanFreq()-X" -0.200624503730769
"test" "1 WALKING" 9 "453 fBodyGyro-meanFreq()-Y" 0.0164815831107692
"test" "1 WALKING" 9 "454 fBodyGyro-meanFreq()-Z" -0.152103721057692
"test" "1 WALKING" 9 "46 tGravityAcc-std()-Z" -0.955523995576923
"test" "1 WALKING" 9 "5 tBodyAcc-std()-Y" -0.201696960826923
"test" "1 WALKING" 9 "503 fBodyAccMag-mean()" -0.318801022711538
"test" "1 WALKING" 9 "504 fBodyAccMag-std()" -0.513891953269231
"test" "1 WALKING" 9 "513 fBodyAccMag-meanFreq()" 0.161672988528846
"test" "1 WALKING" 9 "516 fBodyBodyAccJerkMag-mean()" -0.316870715576923
"test" "1 WALKING" 9 "517 fBodyBodyAccJerkMag-std()" -0.322337536730769
"test" "1 WALKING" 9 "526 fBodyBodyAccJerkMag-meanFreq()" 0.159239938555769
"test" "1 WALKING" 9 "529 fBodyBodyGyroMag-mean()" -0.513797480384615
"test" "1 WALKING" 9 "530 fBodyBodyGyroMag-std()" -0.562714528653846
"test" "1 WALKING" 9 "539 fBodyBodyGyroMag-meanFreq()" 0.127416241121154
"test" "1 WALKING" 9 "542 fBodyBodyGyroJerkMag-mean()" -0.602581618269231
"test" "1 WALKING" 9 "543 fBodyBodyGyroJerkMag-std()" -0.624351923653846
"test" "1 WALKING" 9 "552 fBodyBodyGyroJerkMag-meanFreq()" 0.243222181771154
"test" "1 WALKING" 9 "555 angle(tBodyAccMean,gravity)" -0.0259657901346154
"test" "1 WALKING" 9 "556 angle(tBodyAccJerkMean),gravityMean)" 0.0623476589538462
"test" "1 WALKING" 9 "557 angle(tBodyGyroMean,gravityMean)" 0.121321075826923
"test" "1 WALKING" 9 "558 angle(tBodyGyroJerkMean,gravityMean)" -0.0265764240576923
"test" "1 WALKING" 9 "559 angle(X,gravityMean)" -0.844514789230769
"test" "1 WALKING" 9 "560 angle(Y,gravityMean)" 0.105281462134615
"test" "1 WALKING" 9 "561 angle(Z,gravityMean)" 0.103849947479269
"test" "1 WALKING" 9 "6 tBodyAcc-std()-Z" -0.0579636469030769
"test" "1 WALKING" 9 "81 tBodyAccJerk-mean()-X" 0.0704357270480769
"test" "1 WALKING" 9 "82 tBodyAccJerk-mean()-Y" 0.0212255910017308
"test" "1 WALKING" 9 "83 tBodyAccJerk-mean()-Z" 0.00414762740192308
"test" "1 WALKING" 9 "84 tBodyAccJerk-std()-X" -0.206733787961538
"test" "1 WALKING" 9 "85 tBodyAccJerk-std()-Y" -0.276929933846154
"test" "1 WALKING" 9 "86 tBodyAccJerk-std()-Z" -0.409764526153846
"test" "1 WALKING" 10 "1 tBodyAcc-mean()-X" 0.278574076603774
"test" "1 WALKING" 10 "121 tBodyGyro-mean()-X" 0.0106894976215094
"test" "1 WALKING" 10 "122 tBodyGyro-mean()-Y" -0.0819540783760943
"test" "1 WALKING" 10 "123 tBodyGyro-mean()-Z" 0.0986695731160377
"test" "1 WALKING" 10 "124 tBodyGyro-std()-X" -0.414205475283019
"test" "1 WALKING" 10 "125 tBodyGyro-std()-Y" -0.250853318679245
"test" "1 WALKING" 10 "126 tBodyGyro-std()-Z" -0.174524868603774
"test" "1 WALKING" 10 "161 tBodyGyroJerk-mean()-X" -0.122709563462264
"test" "1 WALKING" 10 "162 tBodyGyroJerk-mean()-Y" -0.0519204981037736
"test" "1 WALKING" 10 "163 tBodyGyroJerk-mean()-Z" -0.0611262928849057
"test" "1 WALKING" 10 "164 tBodyGyroJerk-std()-X" -0.366063723207547
"test" "1 WALKING" 10 "165 tBodyGyroJerk-std()-Y" -0.509683327924528
"test" "1 WALKING" 10 "166 tBodyGyroJerk-std()-Z" -0.329079492641509
"test" "1 WALKING" 10 "2 tBodyAcc-mean()-Y" -0.017022351190566
"test" "1 WALKING" 10 "201 tBodyAccMag-mean()" -0.127400912069811
"test" "1 WALKING" 10 "202 tBodyAccMag-std()" -0.185602396067925
"test" "1 WALKING" 10 "214 tGravityAccMag-mean()" -0.127400912069811
"test" "1 WALKING" 10 "215 tGravityAccMag-std()" -0.185602396067925
"test" "1 WALKING" 10 "227 tBodyAccJerkMag-mean()" -0.132624992298283
"test" "1 WALKING" 10 "228 tBodyAccJerkMag-std()" 0.037608338009434
"test" "1 WALKING" 10 "240 tBodyGyroMag-mean()" -0.156458730358491
"test" "1 WALKING" 10 "241 tBodyGyroMag-std()" -0.402025135660377
"test" "1 WALKING" 10 "253 tBodyGyroJerkMag-mean()" -0.440363636603774
"test" "1 WALKING" 10 "254 tBodyGyroJerkMag-std()" -0.501027916603774
"test" "1 WALKING" 10 "266 fBodyAcc-mean()-X" -0.114190001283019
"test" "1 WALKING" 10 "267 fBodyAcc-mean()-Y" 0.0533911909886792
"test" "1 WALKING" 10 "268 fBodyAcc-mean()-Z" -0.41218272245283
"test" "1 WALKING" 10 "269 fBodyAcc-std()-X" -0.206366497226415
"test" "1 WALKING" 10 "270 fBodyAcc-std()-Y" -0.129775706316981
"test" "1 WALKING" 10 "271 fBodyAcc-std()-Z" -0.435304215660377
"test" "1 WALKING" 10 "294 fBodyAcc-meanFreq()-X" -0.26332591785283
"test" "1 WALKING" 10 "295 fBodyAcc-meanFreq()-Y" 0.243797496811321
"test" "1 WALKING" 10 "296 fBodyAcc-meanFreq()-Z" 0.25896796635283
"test" "1 WALKING" 10 "3 tBodyAcc-mean()-Z" -0.109057512132075
"test" "1 WALKING" 10 "345 fBodyAccJerk-mean()-X" -0.107941107467925
"test" "1 WALKING" 10 "346 fBodyAccJerk-mean()-Y" 0.0309052018326415
"test" "1 WALKING" 10 "347 fBodyAccJerk-mean()-Z" -0.464020508867925
"test" "1 WALKING" 10 "348 fBodyAccJerk-std()-X" -0.0791518267107547
"test" "1 WALKING" 10 "349 fBodyAccJerk-std()-Y" 0.0484867672264151
"test" "1 WALKING" 10 "350 fBodyAccJerk-std()-Z" -0.558512650188679
"test" "1 WALKING" 10 "373 fBodyAccJerk-meanFreq()-X" -0.260130638807547
"test" "1 WALKING" 10 "374 fBodyAccJerk-meanFreq()-Y" -0.148445687402075
"test" "1 WALKING" 10 "375 fBodyAccJerk-meanFreq()-Z" 0.0557990906603774
"test" "1 WALKING" 10 "4 tBodyAcc-std()-X" -0.178709734396226
"test" "1 WALKING" 10 "41 tGravityAcc-mean()-X" 0.963092149811321
"test" "1 WALKING" 10 "42 tGravityAcc-mean()-Y" -0.0838277013962264
"test" "1 WALKING" 10 "424 fBodyGyro-mean()-X" -0.277913780754717
"test" "1 WALKING" 10 "425 fBodyGyro-mean()-Y" -0.345209034528302
"test" "1 WALKING" 10 "426 fBodyGyro-mean()-Z" -0.108530029881132
"test" "1 WALKING" 10 "427 fBodyGyro-std()-X" -0.458292932830189
"test" "1 WALKING" 10 "428 fBodyGyro-std()-Y" -0.204392821584906
"test" "1 WALKING" 10 "429 fBodyGyro-std()-Z" -0.273292866226415
"test" "1 WALKING" 10 "43 tGravityAcc-mean()-Z" 0.0549276242264151
"test" "1 WALKING" 10 "44 tGravityAcc-std()-X" -0.974435158113208
"test" "1 WALKING" 10 "45 tGravityAcc-std()-Y" -0.971114719811321
"test" "1 WALKING" 10 "452 fBodyGyro-meanFreq()-X" -0.0933671419018868
"test" "1 WALKING" 10 "453 fBodyGyro-meanFreq()-Y" -0.122109929924528
"test" "1 WALKING" 10 "454 fBodyGyro-meanFreq()-Z" -0.129800372109434
"test" "1 WALKING" 10 "46 tGravityAcc-std()-Z" -0.957862728301887
"test" "1 WALKING" 10 "5 tBodyAcc-std()-Y" -0.0227431651698113
"test" "1 WALKING" 10 "503 fBodyAccMag-mean()" -0.0930237422792453
"test" "1 WALKING" 10 "504 fBodyAccMag-std()" -0.370471943962264
"test" "1 WALKING" 10 "513 fBodyAccMag-meanFreq()" 0.179599864783019
"test" "1 WALKING" 10 "516 fBodyBodyAccJerkMag-mean()" 0.0205189516981132
"test" "1 WALKING" 10 "517 fBodyBodyAccJerkMag-std()" 0.0502087634986792
"test" "1 WALKING" 10 "526 fBodyBodyAccJerkMag-meanFreq()" -0.0712853941698113
"test" "1 WALKING" 10 "529 fBodyBodyGyroMag-mean()" -0.412616909622642
"test" "1 WALKING" 10 "530 fBodyBodyGyroMag-std()" -0.499759796981132
"test" "1 WALKING" 10 "539 fBodyBodyGyroMag-meanFreq()" 0.129100106828302
"test" "1 WALKING" 10 "542 fBodyBodyGyroJerkMag-mean()" -0.515065335849057
"test" "1 WALKING" 10 "543 fBodyBodyGyroJerkMag-std()" -0.517675799056604
"test" "1 WALKING" 10 "552 fBodyBodyGyroJerkMag-meanFreq()" -0.000234019224528301
"test" "1 WALKING" 10 "555 angle(tBodyAccMean,gravity)" -0.0198411322830189
"test" "1 WALKING" 10 "556 angle(tBodyAccJerkMean),gravityMean)" -0.0428316086415094
